CONSTRU,SegConstru
P,Suelo
P+I,Edificio
IVOL,Edificio
MAR,Edificio
TEN,Edificio
TRF,Edificio
-I+I+POR,Edificio
I,Edificio
-I+II,Edificio
II,Edificio
-I+III,Edificio
-I+I,Edificio
III,Edificio
-I,Edificio
POR,Edificio
-I+POR+I,Edificio
TZA,Edificio
IV,Edificio
IVTZA,Edificio
V,Edificio
SS+II,Edificio
PI,Piscina
POR+I,Edificio
SUELO,Suelo
-I+VI,Edificio
B,Edificio
SS+III,Edificio
-I+IV,Edificio
-I+POR,Edificio
-I+V,Edificio
VI,Edificio
VITZA,Edificio
SUELO,Suelo
ZPAV,Suelo
ZD,Deporte-jardin
JD,Jardin
FUT,Deporte-jardin
-I+ZPAV,Suelo
-III,Suelo
-II+SS+I,Edificio
GOLF,Deporte-jardin
-II+ZPAV,Suelo
-III+SS+IV,Edificio
